TLC,MTY,8°C,18.07°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
PVR,DFW,19.44°C,4.15°C
PVR,DFW,19.44°C,4.15°C
CZM,DFW,24.93°C,4.15°C
CZM,DFW,24.93°C,4.15°C
CZM,DFW,24.93°C,4.15°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
PVR,DFW,19.44°C,4.15°C
PVR,DFW,19.44°C,4.15°C
CUN,JFK,26°C,3.04°C
CUN,DFW,26°C,4.15°C
GDL,DFW,17°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
CUN,ORD,26°C,-5.88°C
CUN,ORD,26°C,-5.88°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
CUN,MIA,26°C,22.85°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
GDL,DFW,17°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
CUN,DFW,26°C,4.15°C
HMO,PHX,13.53°C,10.16°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
CUU,DFW,10.33°C,4.15°C
TRC,DFW,14.35°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
PVR,DFW,19.44°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
QRO,DFW,15°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
AGU,DFW,11.09°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
BJX,DFW,11.15°C,4.15°C
BJX,DFW,11.15°C,4.15°C
BJX,DFW,11.15°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
MTY,DFW,18.07°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
MEX,DFW,15.85°C,4.15°C
PBC,DFW,11.23°C,4.15°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MEX,PHX,15.85°C,10.16°C
MID,MIA,24.43°C,22.85°C
MID,MIA,24.43°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MTY,MIA,18.07°C,22.85°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHL,15.85°C,1.61°C
MEX,PHX,15.85°C,10.16°C
MEX,PHX,15.85°C,10.16°C
MEX,PHX,15.85°C,10.16°C
MEX,PHX,15.85°C,10.16°C
MEX,PHX,15.85°C,10.16°C
MEX,PHX,15.85°C,10.16°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
SLP,DFW,17°C,4.15°C
GDL,DFW,17°C,4.15°C
GDL,PHX,17°C,10.16°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
MEX,CLT,15.85°C,4.19°C
CUN,CLT,26°C,4.19°C
CUN,CLT,26°C,4.19°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
MEX,YYZ,15.85°C,-2.54°C
GDL,IAH,17°C,14.42°C
MEX,YVR,15.85°C,4.61°C
MEX,YVR,15.85°C,4.61°C
MEX,YVR,15.85°C,4.61°C
MEX,YVR,15.85°C,4.61°C
MEX,YVR,15.85°C,4.61°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
MEX,CDG,15.85°C,8.13°C
